Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω,,,,,,,,,,,
Case reference,Product line,Case manufactured in,Description,Calendar,Calibre,First year of production,Case type,Case material,Dial,Strap/bracelet,Catalogue reference No
BA/ST 398.0803,Constellation,Switzerland,Electronic,,1250  f300,1971,,Solid yellow gold or stainless steel,,,
198.0002,Constellation,Switzerland,Electronic,,1250  f300,1971,,Range of metal cases,,,
BA/ST 398.0801,Constellation,Switzerland,Electronic integrated bracelet,,1250  f300,1971,,Solid gold and stainless steel,,,
BA/CD/ST 198.0027,Constellation,Switzerland,Electronic,,1250  f300,1972,,"Solid yellow gold, gold cap & SS",,,
BA 398.0813,Constellation,Switzerland,electronic,,1250  f300,1972,,18k solid gold,,,
MD/ND 198.0075,Constellation,Switzerland,Electronic,,1250  f300,1974,,Gold-plated SS back or all plated,,,
ST 398.0813,Constellation,Switzerland,Electronic,,1250 f300,1972,,Stainless Steel,,,
GD 198.0034,Constellation,Switzerland,,,1260  f300,1972,,Gold-plated,,,
MD 198.0076,Constellation,Switzerland,Made for US market,,1260  f300 Mosaba 12 jewels,1976,,Gold plated,,,
ST 198.0076,Constellation,Switzerland,Made for US market,,1260  f300 Mosaba 12 jewels,1976,,Stainless steel,,,
BA 396.0802,Constellation,Switzerland,Electronic,,1300  Beta 21 Electroquartz,1970,,Solid yellow gold,,,
BA/ST 196.0005,Constellation,Switzerland,Electronic,,1300  Beta 21 Electroquartz,1970,,Solid gold or stainless steel,,,
ST 196.0008,Constellation,Switzerland,Electroquartz  Tonneau,,1301  f8192 Hz,1972,,Stainless steel,,,
ST 198.0022,Constellation,Switzerland,Electroquartz Tonneau,,1301  f8192 Hz,1972,,Stainless steel,,,
ST 396.0807,Constellation,Switzerland,Electroquartz kurled bezel,,1301  f8192 Hz,1973,,Stainless steel,,,
BA 191.0002,Constellation,Switzerland,Electronic 1000 pieces only,,1301 13 jewels,1972,,Solid yellow gold,,,
BA 191.0004,Constellation,Switzerland,Electroquartz  rectangular case,,1302  Beta 21,1974,,Solid yellow gold,,,
ST 396.0846,Constellation,Switzerland,Megaquartz,,1310  8 jewels,1976,,Stainless steel integrated,,,
JD 191.0032,Constellation,Switzerland,Round case,,1330   3 jewel quartz,1976,,Gold plated,,,
ST 191.0032,Constellation,Switzerland,Round case,,1330  3 jewel quartz,1976,,Stainless stell,,,
BA/ST 191.0014,Constellation,Switzerland,[Not specified],,1330  Quartz,1976,,Solid yellow gold or stainless steel,,,
BA 391.8603,Constellation,Switzerland,Tonneau,,1330  Quartz,1976,Tonneau,Solid yellow gold,,,
BA/ST 191.0012,Constellation,Switzerland,[Not specified],,1330 Quartz,1976,,Solid Gold or stainless steel,,,
ST 398.0857,Constellation,Switzerland,Tonneau,,1333  17 jewels,1980,Tonneau,Stainless steel/ integrated bracelet,,,
DD 198.1779,Constellation,Switzerland,Marine (porthole style),,1333  17 jewels,1982,,Stainless steel with solid gold bezel,,,
ST 198.1779,Constellation,Switzerland,Marine (porthole style),,1333  17 jewels,1982,,Stainless steel,,,
DA 795.0803,Constellation,Switzerland,[Not specified],,1350 /1351,1978,,Stainless steel with solid gold bezel,,,
DD 398.0801,Constellation,Switzerland,Rounded rectangle Quartz,,1351 3 jewels,1978,,"14k bezel, int s/gold bracelet",,,
ST 395.0801,Constellation,Switzerland,Rounded Rectange case Quartz,,1351 3 jewels,1978,,SS with 14k bezel or SS,,,
BA/DB 196.0360,Constellation,Switzerland,Quartz,,1379 /1438,1987,,18k solid or SS with solid gold bezel,,,
BA 398.0872,Constellation,Switzerland,First facelift of Manhattan in 18k,,1431 Quartz COSC (non thermo- compensated),1987,Manhattan,18k gold,,,
396.0108,Constellation,Switzerland,Quartz,,1438 /1441,1987,,Range of metals/ bracelet options,,,
DB 398.0869,Constellation,Switzerland,Manhattan COSC,,1444 /1445,1984,Manhattan,Stainless steel with solid gold bezel,,,
DB 396.1070,Constellation,Switzerland,Quartz,,1444 /1445,1987,,Stainless steel with solid gold bezel,,,
BA/DE 396.1070,Constellation,Switzerland,quartz,,1444 /1445,1987,,18k SG and SS and 18k bezel,,,
BA/DB/ST 196.1070,Constellation,Switzerland,Quartz,,1444 /1445,1987,,18k SG/ SS with 18k or SS,,,
BA 895.1076,Constellation,Switzerland,Manhattan diamond bezel,,1450 /1455,1986,Manhattan,Solid yellow gold,,,
BA 895.121.OEO,Constellation,Switzerland,Round case diamond bezel,,1455 /1456  6 jewels,1989,,18k Solid gold integrated bracelet,,,
BA/ST 396.0806,Constellation,Switzerland,Megaquartz,,1510  electronic,1973,,Solid yellow gold or stainless steel,,,
ST 398.0836,Constellation,Switzerland,Marine Chronometer 1000 units,,1511  Megaquartz,1974,,Stainless steel with solid gold bezel,,,
ST 398.0832,Constellation,Switzerland,Marine Chronometer 8000 units,,1516  Megaquartz,1975,,Stainless steel with solid gold bezel,,,
BA/GD/GF 396.0812,Constellation,Switzerland,Time Computer/15000 pieces,,1600 LED,1972,,Solid yellow gold/or YG & WG filled,,,
GD/ST 396.0833,Constellation,Switzerland,Time Computer III,,1602  LED,1975,,Gold filled or Stainless steel,,,
CK 2648 Also some 352RG,Constellation,Switzerland,Earliest Constellation and Globemaster,No,352 /354,1952,Lyre-shaped lugs,Stainless steel and other metals,Domed,,
CK 2652,Constellation,Switzerland,Range of domed dials,No,352 /354,1952,Lyre-shaped lugs,Stainless steel and other metals,Domed,,
OT 2648,Constellation,Switzerland,Range of domed dials,No,352 /354,1952,Lyre-shaped lugs,18K solid gold,Domed,,
KO 2782,Constellation,Switzerland,Range of domed dials,No,352 /354,1954,Lyre-shaped lugs,Gold-cap on stainless steel,Domed,,
OT 2782,Constellation,Switzerland,Range of domed dials,No,352 /354,1954,Lyre-shaped lugs,18K solid gold,Domed,,
OT 2700,Constellation,Switzerland,De Luxe. First pie pan in press-in case,No,354 – Some were 352,1952,Lyre-shaped lugs,18K solid gold,"Gold pie pan, cloisonné enamel Geneva observatory",,
CK 2852,Constellation,Switzerland,Range of dials,No,501 /505,1956,Lyre-shaped lugs,Stainless steel,Various,,
KO 2852,Constellation,Switzerland,Range of dials,No,501 /505,1956,Lyre-shaped lugs,Gold-cap on stainless steel,Various,,
OT 2853,Constellation,Switzerland,De Luxe,No,501 /505,1956,Lyre-shaped lugs,18K solid gold,Various,,
OT 2852,Constellation,Switzerland,Deluxe dial,No,501/505,1956,Lyre-shaped lugs,18 Solid Gold (also in white gold),Various,,
2887,Constellation,Switzerland,Domed dial. Screw-in case version of 2852,No,501/505,1956,Lyre-shaped lugs,Range of metals,Domed,,
BA 168.005,Constellation,Switzerland,Calendar,Yes,561 /564,1962,Dog leg lugs,Solid yellow gold,"Pie pan, domed",,
CD/ST 168.005,Constellation,Switzerland,Calendar,Yes,561 /564,1962,Dog leg lugs,Both goldcap and Stainless Steel,"Pie pan, domed",,
168.005,Constellation,Switzerland,Calendar Grand Luxe,Yes,561 /564,1962,Dog leg lugs,Solid yellow gold,Pie pan,18K gold,BA 368.800
168.005,Constellation,Switzerland,Calendar Grand Luxe,Yes,561 /564,1962,Dog leg lugs,Solid pink gold,Pie pan,18K gold,BB 368.800
168.010,Constellation,Switzerland,"Hidden crown, replaced 168.004",Yes,561 /564,1962,Hidden crown,Solid 18k gold,,,BA 168.0010
168.010,Constellation,Switzerland,"Hidden crown, replaced 168.004",Yes,561 /564,1962,Hidden crown,Gold-cap on stainless steel,,,CD 168.0010
168.010,Constellation,Switzerland,"Hidden crown, replaced 168.004",Yes,561 /564,1962,Hidden crown,Stainless steel,,,ST 168.010
168.010/11,Constellation,Switzerland,De Luxe version of 168.010,Yes,561 /564,1965,Hidden crown,18K yellow gold,Yellow gold,Leather,BA 168.011
168.010/11,Constellation,Switzerland,De Luxe version of 168.010,Yes,561 /564,1965,Hidden crown,18K pink gold,Pink gold,Leather,BB 168.011
1031,Constellation,France,De Luxe version of 168.010,Yes,561 /564,1965,Hidden crown,18K pink gold,Pink gold,Leather,BB 168.011
168.009,Constellation,Switzerland,"Automatic, chronometer",Yes,561 /564,1967,C-shaped,18K gold,,,BA 168.0009
168.017,Constellation,Switzerland,"Automatic, chronometer",Yes,561 /564,1967,C-shaped,Various metal cases,,,168.0017
168.004,Constellation,Switzerland,Hidden crown,Yes,561/ 564,1962,Hidden crown,Stainless steel,"Pie pan, domed",,ST 168.004
168.008,Constellation,Switzerland,C Shape with white gold bezel and rhodium plated dial furniture – some are two tone,Yes,561/564,1962,C-shaped,18K yellow gold with 18K white gold bezel,Gold,,
755.0802/555.0012,Constellation,Switzerland,"Square, integrated",No,662/663,1975,,SS & inlaid 18k,,,
768.0805,Constellation,Switzerland,Ladies bracelet,,682 /685,1971,,Range of metal cases,,,
ST 768.0804,Constellation,Switzerland,Ladies bracelet,,682 /685,1971,,Stainless steel,,,
BC 111.1719,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",,700  solid gold balance,1962,,18k solid white gold,,,
BA 511.8259,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",,700  ultrathin,1970,,Solid yellow gold,,,
BA 111.1719,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",,700 solid gold balance,1962,,Solid yellow gold,,,
BA 153.0033,Constellation,Switzerland,Superflat – round case,,711 /712,1971,,18k solid gold,,,
BA/BC 353.0009,Constellation,Switzerland,33mm Ultrathin,,711 Non COSC /712 COSC,1972,,Solid yellow or white gold,,,
1292.30.00,Constellation,Switzerland,My choice,Yes,725 /1250,1996,My Choice,Range of case metals,,,
BA 766.1201,Constellation,Switzerland,Encloised Geneva Observatory,Yes,725 exclusive Geneva stripes,1995,Manhattan,18k solid gold case and bracelet,"Cloisonné enamel Geneva observatory, various",,
14365,Constellation,Switzerland,"Chronometer, Grand Luxe",No,,1957,Hooded lugs,18K solid gold,Gold pie pan,18K gold,
167.006,Constellation,Switzerland,De Luxe chronometer,No,,,Lyre-shaped lugs,18K gold,"Domed, gold",,
368.5416,Constellation,England,Chronometer,Yes,,,Dog leg lugs,18K gold,,18K gold,
368.5417,Constellation,England,Chronometer,Yes,,,Dog leg lugs,18K gold,Gold,18K gold,
368.5470/71,Constellation,England,Chronometer,Yes,,,Hidden crown,18K gold,Gold,"18K gold, integrated",
166.0105,De Ville,Switzerland,Monocoque,Yes,565,1978,Monocoque,Stainless Steel and other metals,,,
146.017,De Ville,Switzerland,Chronograph,Yes,930,1967,Straight lugs,"Gold, gold plated, stainless steel","Two subdials, date at 9",,
ST 145.036,Flightmaster,Switzerland,Chronograph,No,911,1969,Pilot Line,Stainless steel,Flightmaster,,
166.037,Genève,Switzerland,Automatic,Yes,565,,Skinny lugs,,,,
2748,Genève,Switzerland,"Cursive Genève, automatic, small seconds",No,266,,Skinny lugs,,,,
14702,Genève,Switzerland,"Cursive Genève, automatic, center seconds",No,552,,Skinny lugs,,,,
14724,Genève,Switzerland,"Cursive Genève, automatic, center seconds, calendar",Yes,610,,Skinny lugs,,,,
166.0163,Genève,Switzerland,Automatic,Yes,1010/1012,1973,,Various,,,
135.011,Genève,Switzerland,Manual wound,No,601,,Skinny lugs,,,,
CK 2914,Railmaster,Switzerland,Broad arrow hands,No,284/285/286,1957,Railmaster,,,,
135.004,Railmaster,Switzerland,,No,284/285/286,1962,Railmaster,,,,
2990-1,Ranchero,Switzerland,"Manual wound, small seconds, broad arrow hands",No,257/267,1958,Ranchero,Stainless steel,"Ranchero white, Ranchero black",Leather,
2996,Ranchero,Switzerland,"Manual wound, center seconds, broad arrow hands",No,284/285,1958,,,,,
CK 2576,Seamaster,Switzerland,"Automatic, small seconds",No,342,1949,Fat lugs,Stainless steel,,,
2757,Seamaster,Switzerland,Automatic,Yes,355,,Fat lugs,,,,
2975,Seamaster,Switzerland,Automatic,No,500,1958,Lozenge,,,,
14368,Seamaster,Switzerland,"Ultima, automatic, chronometer",No,501,1956,Hooded lugs,18K gold,Domed two-tone waffle with applied gold hour-markers,,
2849,Seamaster,Switzerland,Automatic,Yes,503,1958,"Fat lugs, big logo","18K gold, gold capped, SS",,,
165.009,Seamaster,Switzerland,Automatic,No,552,,Fat lugs,,,,
OT 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,18K gold,Gold with applied gold hour-markers,18K gold,67101 A
OT 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,18K gold,Silvered with applied gold hour-markers,18K gold,67101 B
OT 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,18K gold,Gold with applied gold hour-markers,Crocodile,7171 A
OT 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,18K gold,Silvered with applied gold hour-markers,Crocodile,7171 B
KO 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,Gold cap on stainless steel,"Silvered, applied luminous hour markers in gold",Crocodile,7103
CK 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,Stainless steel,"Silvered, applied luminous hour markers in gold",Crocodile,7111
CK 14701,Seamaster,Switzerland,Automatic,Yes,562,1960,Lozenge,Stainless steel,"Black, applied luminous hour markers in gold",Crocodile,7111
166.010,Seamaster,Switzerland,Automatic,Yes,562,,Lozenge,,,,
166.009,Seamaster,Switzerland,Automatic,Yes,562,,Fat lugs,,,,
KL6736,Seamaster,United States,Automatic,Yes,563,,C-shaped,,Silvered,,
KM6736,Seamaster,United States,Automatic,Yes,563,,C-shaped,,Silvered,,
168.035,Seamaster,Switzerland,"Automatic, chronometer",Yes,564,,Cushion,Stainless steel,Special,,
166.037,Seamaster,Switzerland,Automatic,Yes,565,,Skinny lugs,,,,
165.010,Seamaster,Switzerland,Automatic,No,565,,Lozenge,,,,
14704,Seamaster,Switzerland,Automatic,No,591,1960,Fat lugs,,,,
168.023,Seamaster,Switzerland,"Automatic, chronometer, day",Yes,752,,Flattened lozenge,Various,Special,,
CK 2577,Seamaster,Switzerland,"Automatic, center seconds",No,"30.10, 351",1948,Fat lugs,Stainless steel,,,
OT 2518,Seamaster,Switzerland,"Automatic, chronometre, small seconds",No,343RG,1948,Fat lugs,18K gold,Waffle,,
CK 2518,Seamaster,Switzerland,"Automatic, chronometre, small seconds",No,343RG,1948,Fat lugs,Stainless steel,,,
CK 2576,Seamaster,Switzerland,"Automatic, chronometer, small seconds",No,352RG,1949,Fat lugs,Stainless steel,,,
2848,Seamaster,Switzerland,"Automatic, small seconds",No,490/491,1858,Fat lugs,"18K gold, gold capped, SS",,,
2846,Seamaster,Switzerland,"Automatic, center seconds",No,500/501,1858,Fat lugs,"18K gold, gold capped, SS",,,
166.093,Seamaster 1000m,Switzerland,"La Grande, diver",,,,,,,,
166.073,Seamaster 120,Switzerland,,,,,,,,,
166.027,Seamaster 120,Switzerland,,,,,,,,,
ST 165.014,Seamaster 300,Switzerland,,No,552,,Straight lugs,,,,
CK 2913,Seamaster 300,Switzerland,"Broad arrow hands, dauphine hands on later models",No,500/501,,Straight lugs,,,,
CK 14755,Seamaster 300,Switzerland,Transitional,No,550/552,,Straight lugs,,,,
ST 165.024,Seamaster 300,Switzerland,Sword hour hand,No,,,Lyre-shaped lugs,,,,
135.011,Seamaster 600,Switzerland,Manual wound,No,601,,Skinny lugs,,,,
145.005,Seamaster de Ville,Switzerland,"Manual wound, chronograph",No,321,1967,"Faceted lugs, chronograph",,,,
14735,Seamaster de Ville,Switzerland,Manual wound,No,520,1960,Non-faceted lugs,,,,
L-6590,Seamaster de Ville,United States,Automatic,No,550,1960,Non-faceted lugs,14K gold,,,
LL 6590-1,Seamaster de Ville,United States,Automatic,No,550,1962,Non-faceted lugs,14K gold,"Silvered, special",,LL 6590-1
LL 6066,Seamaster de Ville,United States,Automatic,No,550,1962,Non-faceted lugs,14K gold filled,,,
LL 6287-1,Seamaster de Ville,United States,Automatic,No,550,1962,Non-faceted lugs,14K gold filled,,,
LL 6609-1,Seamaster de Ville,United States,Automatic,No,550,1962,Non-faceted lugs,18K gold,,,
KL 6610,Seamaster de Ville,United States,Automatic,No,550,1965,Non-faceted lugs,14K gold,,,
14742,Seamaster de Ville,Switzerland,Automatic,No,552,1960,"Non-faceted lugs, protruding towards the back",18K gold,18K gold,18K gold,"365.800, BA 365.5801 in England"
14742,Seamaster de Ville,Switzerland,Automatic,No,552,1960,"Non-faceted lugs, protruding towards the back",18K gold,"Silvered, logo at twelve",Crocodile,7077
14745,Seamaster de Ville,Switzerland,Automatic,No,552,1960,Non-faceted lugs,Gold cap on stainless steel,Silvered,Crocodile,7087
14745,Seamaster de Ville,Switzerland,Automatic,No,552,1960,Non-faceted lugs,Stainless steel,Silvered,Crocodile,7097
165.020,Seamaster de Ville,Switzerland,Automatic,No,552,1964,Faceted lugs,,,,165.65020 in England
165.5020,Seamaster de Ville,England,Automatic,No,552,1960,Faceted lugs,14K or 18K gold,,,
BA 165.5021,Seamaster de Ville,England,Automatic,No,552,1960,Faceted lugs,18K solid gold,Gold,,
,Seamaster de Ville,England,Automatic,No,552,1962,Faceted lugs,9K gold on a 9K gold bracelet,,,BL 365.5445 in England
,Seamaster de Ville,Switzerland,Automatic,No,552,1960,Faceted lugs,18K gold on an integrated 18K gold bracelet,,,365.7003 in England
14730,Seamaster de Ville,Switzerland,Automatic,Yes,562,1960,Non-faceted lugs,,Silvered,,
7161,Seamaster de Ville,Switzerland,Automatic,Yes,562,1960,"No lugs, integrated bracelet",18K gold on a 18K gold integrated bracelet,Gold,"18K gold, integrated",366.7003 in England
166.025,Seamaster de Ville,Switzerland,Automatic,Yes,562,1964,"Faceted lugs, protruding towards the back","18K gold, available on a 18K gold bracelet or crocodile strap",Silvered or gold,,
166.3020,Seamaster de Ville,France,"Automatic, date",Yes,562,1962,Faceted lugs,18K gold,Silvered,Crocodile,
KM 6066,Seamaster de Ville,United States,Automatic,Yes,563,1965,Non-faceted lugs,14K gold cap,,,
6067,Seamaster de Ville,United States,Automatic,Yes,563,1965,Non-faceted lugs,Stainless steel,Silvered,Stainless steel,6067R
6067,Seamaster de Ville,United States,Automatic,Yes,563,1965,Non-faceted lugs,Stainless steel,Silvered,Crocodile,
KL 6068,Seamaster de Ville,United States,Automatic,Yes,563,1966,Non-faceted lugs,Stainless steel with 14k gold bezel,,,
KM 6068,Seamaster de Ville,United States,Automatic,Yes,563,1966,Non-faceted lugs,14K gold cap,,14K gold filled,KM 6068RF
KL 6068,Seamaster de Ville,United States,Automatic,Yes,563,1966,Non-faceted lugs,Stainless steel with 14k gold bezel,Special,,KL 6068/10
KM 6068,Seamaster de Ville,United States,Automatic,Yes,563,1966,Non-faceted lugs,14K gold cap,Special,14K gold filled,KM 6068RF/10
KM 6068,Seamaster de Ville,United States,Automatic,Yes,563,1966,Non-faceted lugs,14K gold cap,,,KM 6068/10
KM 6292,Seamaster de Ville,United States,Automatic,Yes,563,1969,Non-faceted lugs,14K gold filled,Special,,KM 6292/10
KM 6292,Seamaster de Ville,United States,Automatic,Yes,563,1969,Non-faceted lugs,14K gold filled,Special,14K gold filled,KM 6292RF/10
KM 6326,Seamaster de Ville,United States,Automatic,Yes,563,1974,Oval shaped,14K gold filled,Gold,#9804 14K GF,KM 6326 B/6
KM 6326,Seamaster de Ville,United States,Automatic,Yes,563,1974,Oval shaped,14K gold filled,Blue,#9804 14K GF,KM 6326 B/5
KM 6326,Seamaster de Ville,United States,Automatic,Yes,563,1974,Oval shaped,14K gold filled,Gold,Crocodile,KM 6326/6
KM 6326,Seamaster de Ville,United States,Automatic,Yes,563,1974,Oval shaped,14K gold filled,Silvered,#9804 14K GF,KM 6326 B/7
KM 6328,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14K gold filled,Gold with 33 diamonds,,KM 6328D
KM 6339,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14K gold cap,,,KM 6339
KM 6610,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Silvered,"14K gold, integrated",KM 6610
KM 6610,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Silvered,Crocodile,KM 6610
KM 6610,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Silvered,#9931 14K GF,KM 6610RF
KM 6610,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Special,Crocodile,KM 6610/10
KM 6813,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14K gold cap,Gold with 33 diamonds,Crocodile,KM 6813D
KM 6822,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Blue,"14K gold, integrated",KM 6822/5
KM 6822,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Gold,"14K gold, integrated",KM 6822/6
KM 6822,Seamaster de Ville,United States,Automatic,Yes,563,1974,Non-faceted lugs,14k solid gold,Silvered,"14K gold, integrated",KM 6822/7
166.9020,Seamaster de Ville,Brazil,"Automatic, date",Yes,565,1962,Faceted lugs,18K gold,Silvered,Crocodile,
14750,Seamaster de Ville,Switzerland,Manual wound,No,600,1960,Non-faceted lugs,18K gold,Silvered with applied gold hour-markers,Crocodile,8077
14750,Seamaster de Ville,Switzerland,Manual wound,No,600,1960,Non-faceted lugs,Gold cap on stainless steel,Silvered with applied gold hour-markers,Crocodile,8087
14750,Seamaster de Ville,Switzerland,Manual wound,No,600,1960,Non-faceted lugs,Stainless steel,Silvered with applied gold hour-markers,Crocodile,8097
14915,Seamaster de Ville,Switzerland,Manual wound,No,600,1962,Faceted lugs,,,,
135.010,Seamaster de Ville,Switzerland,Manual wound,No,601,1962,Faceted lugs,,,,
BL 135.5010,Seamaster de Ville,England,Manual wound,No,601,1964,Faceted lugs,9K gold,,,
14740,Seamaster de Ville,Switzerland,Manual wound,Yes,610,1960,Non-faceted lugs,18K gold,Silvered with applied gold hour-markers,Crocodile,8070
14740,Seamaster de Ville,Switzerland,Manual wound,Yes,610,1960,Non-faceted lugs,Gold cap on stainless steel,Silvered with applied gold hour-markers,Crocodile,8080
14740,Seamaster de Ville,Switzerland,Manual wound,Yes,610,1960,Non-faceted lugs,Stainless steel,Silvered with applied gold hour-markers,Crocodile,8090
14775,Seamaster de Ville,Switzerland,Manual wound,Yes,610,1960,Non-faceted lugs,,,,
14920,Seamaster de Ville,Switzerland,Manual wound,Yes,610,1962,Faceted lugs,,,,
135.001,Seamaster de Ville,Switzerland,"Midsize, manual wound",No,630,1961,"Midsize, non-faceted lugs",,,,
B6308,Seamaster de Ville,United States,"Midsize, automatic",No,670,,Non-faceted lugs,14K solid gold or 14K gold filled,Silvered,,B6308
B6695,Seamaster de Ville,United States,"Midsize, automatic",No,670,,Non-faceted lugs,14K solid gold,Silvered,"14K gold, integrated",B6695
C 6864,Seamaster de Ville,United States,"Automatic, day",Yes,1020,,Non-faceted lugs,,,,C 6864
C 6865,Seamaster de Ville,United States,"Automatic day, Tiffany double signed",Yes,1020,,Non-faceted lugs,,,,C 6865
14905,Seamaster de Ville,Switzerland,Automatic,No,550/552,1960,Faceted lugs,,Silverugs,,
14765,Seamaster de Ville,Switzerland,Automatic,No,550/552/562,1961,Non-faceted lugs,,,,
KL 6292,Seamaster de Ville,United States,Automatic,Possible,550/560,1962,Non-faceted lugs,14K gold filled,,,
None,Seamaster de Ville,United States,"Automatic, kleerback",Possible,550/560,1962,"Non-faceted lugs, kleerback",14K gold filled,,,KL 6292 VB
KM 6292,Seamaster de Ville,United States,Automatic,Possible,550/563,1969,Non-faceted lugs,14K gold filled,,,KM 6292
14910,Seamaster de Ville,Switzerland,Automatic,Yes,560/562,1960,Faceted lugs,Gold cap on stainless steel,Silvered,Crocodile,7080
14910,Seamaster de Ville,Switzerland,Automatic,Yes,560/562,1960,Faceted lugs,Stainless steel,Silvered,Crocodile,7090
14910,Seamaster de Ville,Switzerland,Automatic,Yes,560/562,1960,Faceted lugs,Stainless steel,Special,Stainless steel,
14770,Seamaster de Ville,Switzerland,Automatic,Yes,560/562/563/565,1961,Non-faceted lugs,,,,
14743,Seamaster de Ville,Switzerland,Automatic,Yes,562/563/565,1960,"Non-faceted lugs, protruding towards the back",18K gold on a 18K gold bracelet,"Gold, available with dauphine hands",18K gold,"366.800, BA 366.5801 in England"
14743,Seamaster de Ville,Switzerland,Automatic,Yes,562/563/565,1960,"Non-faceted lugs, protruding towards the back",18K gold on a 18K gold bracelet,"Gold, available with dauphine hands",Crocodile,7070 A
14743,Seamaster de Ville,Switzerland,Automatic,Yes,562/563/565,1960,"Non-faceted lugs, protruding towards the back",18K gold on a 18K gold bracelet,"Silvered, logo at twelve",Crocodile,7070 B
166.020,Seamaster de Ville,Switzerland,Automatic,Yes,562/563/565,1964,Faceted lugs,,,,
BL 166.5020,Seamaster de Ville,England,Automatic,Yes,562/563/565,1962,Faceted lugs,9K gold,,Crocodile,
BA 166.5020,Seamaster de Ville,England,Automatic,Yes,562/563/565,1962,Faceted lugs,18K gold,Silvered,,
BA 166.5021,Seamaster de Ville,England,Automatic,Yes,562/563/565,1962,Faceted lugs,18K gold,Gold,Crocodile,
,Seamaster de Ville,England,Automatic,Yes,562/563/565,1962,Faceted lugs,9K gold,,9K gold,BL 366.5445 in England
14725,Seamaster de Ville,Switzerland,Automatic,No,570/571,1960,Non-faceted lugs,,,,
135.020,Seamaster de Ville,Switzerland,Manual wound,No,600/601,1964,Faceted lugs,,,,
136.020,Seamaster de Ville,Switzerland,Manual wound,Yes,610/611/613,1964,Faceted lugs,,,,
165.004,Seamaster de Ville,Switzerland,"Midsize, automatic",No,670/671,1961,"Midsize, faceted lugs",,,,
166.077,"Seamaster Professionnal 600 ""Ploprof""",Switzerland,"Ploprof, diver",Yes,1001/1002,1971,Ploprof,Stainless steel,,"Stainless steel ""shark"" mesh",
CK 2915,Speedmaster,Switzerland,"Manual wound chronograph, tachymeter, broad arrow hands",No,321,1957,Straight lugs,Stainless steel,Black,,
CK 2998,Speedmaster,Switzerland,"FOIS, manual wound chronograph, tachymeter",No,321,1959,Straight lugs,Stainless steel,Black,,
ST 105.002,Speedmaster,Switzerland,"Manual wound chronograph, tachymeter",No,321,1962,Straight lugs,Stainless steel,Black,,
ST 105.003,Speedmaster,Switzerland,"Ed White, manual wound chronograph, tachymeter",No,321,1964,Straight lugs,Stainless steel,Black,,
ST 105.012,Speedmaster,Switzerland,"Moonwatch, manual wound chronograph, tachymeter",No,321,1964,Lyre-shaped lugs,Stainless steel,Black,,
ST 145.012,Speedmaster,Switzerland,"Manual wound chronograph, tachymeter",No,321,1967,Lyre-shaped lugs,Stainless steel,Black,,
ST 145.022,Speedmaster,Switzerland,"Manual wound chronograph, tachymeter",No,"861, 1861",1968,Lyre-shaped lugs,Stainless steel,Black,,
